score,docs,tokens,int_score
1.5,975821,802820095,2
1.5078125,966233,797132018,2
1.515625,954103,789768681,2
1.5234375,943518,781815850,2
1.53125,932612,774309708,2
1.5390625,921033,767893113,2
1.546875,912875,758327230,2
1.5546875,900104,752068030,2
1.5625,891456,743106794,2
1.5703125,877589,735213341,2
1.578125,869695,730728615,2
1.5859375,860388,720328680,2
1.59375,847139,710999648,2
1.6015625,839549,712575345,2
1.609375,831437,701479452,2
1.6171875,818825,691601136,2
1.625,809689,687885976,2
1.6328125,799352,677513459,2
1.640625,790446,672548567,2
1.6484375,782248,663559056,2
1.65625,773361,660656907,2
1.6640625,763700,652437464,2
1.671875,755531,646667767,2
1.6796875,746586,641423551,2
1.6875,736708,631782257,2
1.6953125,727681,627120120,2
1.703125,720281,620048056,2
1.7109375,711625,616677733,2
1.71875,704322,610648952,2
1.7265625,695444,602491075,2
1.734375,687266,594637905,2
1.7421875,680832,590465213,2
1.75,672603,588090689,2
1.7578125,664245,583507151,2
1.765625,659086,576898196,2
1.7734375,648756,569880222,2
1.78125,641036,562185282,2
1.7890625,634796,554211910,2
1.796875,625309,551882001,2
1.8046875,618778,548027122,2
1.8125,610612,540022641,2
1.8203125,605151,535729610,2
1.828125,599115,531142949,2
1.8359375,590112,526998604,2
1.84375,583048,520492529,2
1.8515625,575926,511942393,2
1.859375,570144,509859514,2
1.8671875,563583,505447867,2
1.875,558653,499277749,2
1.8828125,550888,493766826,2
1.890625,545054,491745706,2
1.8984375,538544,486779713,2
1.90625,532789,480888652,2
1.9140625,525716,472585389,2
1.921875,519894,470200826,2
1.9296875,513638,464853932,2
1.9375,506986,458853594,2
1.9453125,501562,455556877,2
1.953125,496088,451232219,2
1.9609375,489161,444735936,2
1.96875,484131,443139256,2
1.9765625,479549,439690159,2
1.984375,475186,435653961,2
1.9921875,467672,426341642,2
2.0,692980,634168194,2
2.015625,905451,839727333,2
2.03125,885960,818954574,2
2.046875,864234,798864771,2
2.0625,844613,789261418,2
2.078125,826638,768742829,2
2.09375,807458,755437770,2
2.109375,788353,738137661,2
2.125,774538,726692045,2
2.140625,756008,712261532,2
2.15625,738106,698725282,2
2.171875,723026,684813310,2
2.1875,707693,671768931,2
2.203125,690870,656837140,2
2.21875,674521,643095111,2
2.234375,661046,632468194,2
2.25,645944,618807040,2
2.265625,633071,607437156,2
2.28125,617850,596303253,2
2.296875,605803,584357490,2
2.3125,592490,571673915,2
2.328125,580661,560626640,2
2.34375,566634,548570516,2
2.359375,554421,539473043,2
2.375,543367,531351561,2
2.390625,532123,522571620,2
2.40625,519826,509662797,2
2.421875,509127,499343314,2
2.4375,497949,486730983,2
2.453125,488155,480350310,2
2.46875,477773,470393679,2
2.484375,467968,461391891,2
2.5,458461,453575404,2
2.515625,449176,446847628,3
2.53125,439101,435333198,3
2.546875,430132,425202245,3
2.5625,421517,419415772,3
2.578125,411924,411351779,3
2.59375,404430,404264507,3
2.609375,397250,397482805,3
2.625,387278,385160620,3
2.640625,378682,380257585,3
2.65625,371167,370555297,3
2.671875,364374,365840182,3
2.6875,355646,357868263,3
2.703125,350061,352424656,3
2.71875,342196,344523620,3
2.734375,335803,336642864,3
2.75,328369,333086489,3
2.765625,321518,325631943,3
2.78125,315414,318001058,3
2.796875,308626,313305796,3
2.8125,303145,308742741,3
2.828125,296200,299588217,3
2.84375,289758,294650760,3
2.859375,283569,288822198,3
2.875,277164,282603183,3
2.890625,271481,276738330,3
2.90625,267628,274892659,3
2.921875,260827,266068269,3
2.9375,255884,262322488,3
2.953125,250341,257922436,3
2.96875,243910,249008350,3
2.984375,239895,246986925,3
3.0,234370,242433743,3
3.015625,228710,234109909,3
3.03125,224009,232174131,3
3.046875,219552,227852047,3
3.0625,214462,220285669,3
3.078125,209452,217740476,3
3.09375,205332,213520374,3
3.109375,200584,207176718,3
3.125,196532,204122766,3
3.140625,191098,199371649,3
3.15625,186720,195550302,3
3.171875,182832,190737914,3
3.1875,177995,187148717,3
3.203125,174148,182295595,3
3.21875,170152,178559184,3
3.234375,166023,174915749,3
3.25,163039,172460881,3
3.265625,157430,166335197,3
3.28125,154349,162962495,3
3.296875,150099,157974875,3
3.3125,145569,154974721,3
3.328125,142331,150722787,3
3.34375,138777,147799775,3
3.359375,135689,144623368,3
3.375,132422,140861549,3
3.390625,128486,137711663,3
3.40625,125348,134461548,3
3.421875,120864,129340191,3
3.4375,118413,127473971,3
3.453125,114391,123248709,3
3.46875,111522,119591728,3
3.484375,108358,118058515,3
3.5,104967,114280069,4
3.515625,102464,110848300,4
3.53125,99822,108089128,4
3.546875,95932,104712507,4
3.5625,92786,99893445,4
3.578125,89798,96534701,4
3.59375,87331,94555409,4
3.609375,83530,91411093,4
3.625,80790,89022617,4
3.640625,79089,86705532,4
3.65625,75504,82606565,4
3.671875,72516,79351777,4
3.6875,70328,78309526,4
3.703125,67269,74718586,4
3.71875,64961,71295250,4
3.734375,62910,68349175,4
3.75,60143,66953638,4
3.765625,57656,63251516,4
3.78125,54965,60447542,4
3.796875,52875,57813974,4
3.8125,50856,56244469,4
3.828125,48150,53156254,4
3.84375,46617,50866293,4
3.859375,44541,48773991,4
3.875,42006,46653343,4
3.890625,39911,44472688,4
3.90625,38234,41825139,4
3.921875,36407,40427979,4
3.9375,34379,37774018,4
3.953125,32559,35728195,4
3.96875,30876,33835502,4
3.984375,29462,32493306,4
4.0,41069,44454856,4
4.03125,49291,52890723,4
4.0625,43311,47065481,4
4.09375,38381,41309815,4
4.125,33516,35424738,4
4.15625,29023,30770079,4
4.1875,25200,26395906,4
4.21875,21465,21923949,4
4.25,18280,19126997,4
4.28125,15731,16116023,4
4.3125,13331,13289989,4
4.34375,10982,10883055,4
4.375,9284,9174561,4
4.40625,7674,7522502,4
4.4375,6309,6261345,4
4.46875,4929,4854451,4
4.5,4108,3783005,4
4.53125,3326,3104224,5
4.5625,2604,2429862,5
4.59375,2128,2052083,5
4.625,1575,1416361,5
4.65625,1229,1052968,5
4.6875,931,852002,5
4.71875,687,617292,5
4.75,484,426038,5
4.78125,398,341082,5
4.8125,301,255376,5
4.84375,209,152818,5
4.875,162,135385,5
4.90625,110,84766,5
4.9375,68,55427,5
4.96875,49,36128,5
5.0,34,20056,5
5.03125,32,26535,5
5.0625,21,10616,5
5.09375,11,13016,5
5.125,3,1110,5
5.15625,4,5454,5
5.21875,3,2941,5
5.25,5,8128,5
5.28125,1,862,5
